"Symbol","lastUpdate","updateStatus"
"A","0000-00-00",1
"AAL","0000-00-00",1
"AAP","0000-00-00",1
"AAPL","0000-00-00",1
"ABBV","0000-00-00",1
"ABC","0000-00-00",1
"ABT","0000-00-00",1
"ACN","0000-00-00",1
"ADBE","0000-00-00",1
"ADI","0000-00-00",1
"ADM","0000-00-00",1
"ADP","0000-00-00",1
"ADS","0000-00-00",1
"ADSK","0000-00-00",1
"AEE","0000-00-00",1
"AEP","0000-00-00",1
"AES","0000-00-00",1
"AET","0000-00-00",1
"AFL","0000-00-00",1
"AGN","0000-00-00",1
"AIG","0000-00-00",1
"AIV","0000-00-00",1
"AIZ","0000-00-00",1
"AJG","0000-00-00",1
"AKAM","0000-00-00",1
"ALB","0000-00-00",1
"ALGN","0000-00-00",1
"ALK","0000-00-00",1
"ALL","0000-00-00",1
"ALLE","0000-00-00",1
"ALXN","0000-00-00",1
"AMAT","0000-00-00",1
"AMD","0000-00-00",1
"AME","0000-00-00",1
"AMG","0000-00-00",1
"AMGN","0000-00-00",1
"AMP","0000-00-00",1
"AMT","0000-00-00",1
"AMZN","0000-00-00",1
"ANDV","0000-00-00",1
"ANSS","0000-00-00",1
"ANTM","0000-00-00",1
"AON","0000-00-00",1
"AOS","0000-00-00",1
"APA","0000-00-00",1
"APC","0000-00-00",1
"APD","0000-00-00",1
"APH","0000-00-00",1
"APTV","0000-00-00",1
"ARE","0000-00-00",1
"ARNC","0000-00-00",1
"ATVI","0000-00-00",1
"AVB","0000-00-00",1
"AVGO","0000-00-00",1
"AVY","0000-00-00",1
"AWK","0000-00-00",1
"AXP","0000-00-00",1
"AYI","0000-00-00",1
"AZO","0000-00-00",1
"BA","0000-00-00",1
"BAC","0000-00-00",1
"BAX","0000-00-00",1
"BBT","0000-00-00",1
"BBY","0000-00-00",1
"BDX","0000-00-00",1
"BEN","0000-00-00",1
"BHGE","0000-00-00",1
"BIIB","0000-00-00",1
"BK","0000-00-00",1
"BLK","0000-00-00",1
"BLL","0000-00-00",1
"BMY","0000-00-00",1
"BSX","0000-00-00",1
"BWA","0000-00-00",1
"BXP","0000-00-00",1
"C","0000-00-00",1
"CA","0000-00-00",1
"CAG","0000-00-00",1
"CAH","0000-00-00",1
"CAT","0000-00-00",1
"CB","0000-00-00",1
"CBOE","0000-00-00",1
"CBS","0000-00-00",1
"CCI","0000-00-00",1
"CCL","0000-00-00",1
"CDNS","0000-00-00",1
"CELG","0000-00-00",1
"CERN","0000-00-00",1
"CF","0000-00-00",1
"CHD","0000-00-00",1
"CHK","0000-00-00",1
"CHRW","0000-00-00",1
"CHTR","0000-00-00",1
"CI","0000-00-00",1
"CINF","0000-00-00",1
"CL","0000-00-00",1
"CLX","0000-00-00",1
"CMA","0000-00-00",1
"CMCSA","0000-00-00",1
"CME","0000-00-00",1
"CMG","0000-00-00",1
"CMI","0000-00-00",1
"CMS","0000-00-00",1
"CNC","0000-00-00",1
"CNP","0000-00-00",1
"COF","0000-00-00",1
"COG","0000-00-00",1
"COL","0000-00-00",1
"COO","0000-00-00",1
"COP","0000-00-00",1
"COST","0000-00-00",1
"COTY","0000-00-00",1
"CPB","0000-00-00",1
"CRM","0000-00-00",1
"CSCO","0000-00-00",1
"CSX","0000-00-00",1
"CTAS","0000-00-00",1
"CTL","0000-00-00",1
"CTSH","0000-00-00",1
"CTXS","0000-00-00",1
"CVS","0000-00-00",1
"CVX","0000-00-00",1
"CXO","0000-00-00",1
"D","0000-00-00",1
"DAL","0000-00-00",1
"DE","0000-00-00",1
"DFS","0000-00-00",1
"DG","0000-00-00",1
"DGX","0000-00-00",1
"DHI","0000-00-00",1
"DHR","0000-00-00",1
"DIS","0000-00-00",1
"DISCA","0000-00-00",1
"DISCK","0000-00-00",1
"DISH","0000-00-00",1
"DLR","0000-00-00",1
"DLTR","0000-00-00",1
"DOV","0000-00-00",1
"DPS","0000-00-00",1
"DRE","0000-00-00",1
"DRI","0000-00-00",1
"DTE","0000-00-00",1
"DUK","0000-00-00",1
"DVA","0000-00-00",1
"DVN","0000-00-00",1
"DWDP","0000-00-00",1
"DXC","0000-00-00",1
"EA","0000-00-00",1
"EBAY","0000-00-00",1
"ECL","0000-00-00",1
"ED","0000-00-00",1
"EFX","0000-00-00",1
"EIX","0000-00-00",1
"EL","0000-00-00",1
"EMN","0000-00-00",1
"EMR","0000-00-00",1
"EOG","0000-00-00",1
"EQIX","0000-00-00",1
"EQR","0000-00-00",1
"EQT","0000-00-00",1
"ES","0000-00-00",1
"ESRX","0000-00-00",1
"ESS","0000-00-00",1
"ETFC","0000-00-00",1
"ETN","0000-00-00",1
"ETR","0000-00-00",1
"EVHC","0000-00-00",1
"EW","0000-00-00",1
"EXC","0000-00-00",1
"EXPD","0000-00-00",1
"EXPE","0000-00-00",1
"EXR","0000-00-00",1
"F","0000-00-00",1
"FAST","0000-00-00",1
"FB","0000-00-00",1
"FBHS","0000-00-00",1
"FCX","0000-00-00",1
"FDX","0000-00-00",1
"FE","0000-00-00",1
"FFIV","0000-00-00",1
"FIS","0000-00-00",1
"FISV","0000-00-00",1
"FITB","0000-00-00",1
"FL","0000-00-00",1
"FLIR","0000-00-00",1
