A, 49.9%, 56.51%, 48.5%, 45.69%
AAL, 51.7%, 43.49%, 48.7%, 50.5%
AAP, 46.49%, 52.51%, 48.9%, 49.7%
AAPL, 54.11%, 40.48%, 48.9%, 46.49%
ABBV, 48.1%, 55.51%, 49.5%, 47.7%
ABC, 48.9%, 44.09%, 48.3%, 54.51%
ABT, 50.3%, 52.91%, 48.1%, 50.1%
ACN, 45.09%, 45.29%, 43.89%, 40.88%
ADBE, 49.1%, 40.28%, 47.7%, 55.91%
ADI, 48.5%, 45.29%, 46.69%, 45.29%
ADM, 50.9%, 53.51%, 52.3%, 54.71%
ADP, 48.7%, 52.71%, 51.9%, 45.09%
ADS, 46.89%, 55.31%, 44.29%, 52.51%
ADSK, 50.9%, 55.71%, 51.1%, 52.71%
AEE, 48.3%, 60.72%, 53.51%, 43.29%
AEP, 48.7%, 54.91%, 52.3%, 56.11%
AES, 51.3%, 51.1%, 50.3%, 50.9%
AET, 49.1%, 43.49%, 49.5%, 52.71%
AFL, 44.49%, 50.9%, 47.7%, 44.69%
AGN, 47.09%, 48.3%, 49.5%, 48.3%
AIG, 48.5%, 42.28%, 52.1%, 50.5%
AIV, 47.09%, 54.11%, 49.9%, 48.3%
AIZ, 45.89%, 45.29%, 48.5%, 55.11%
AJG, 56.31%, 45.69%, 53.71%, 44.69%
AKAM, 52.91%, 44.69%, 47.7%, 44.29%
ALB, 46.49%, 58.12%, 57.52%, 47.09%
ALGN, 57.11%, 56.91%, 56.51%, 40.28%
ALK, 48.9%, 46.69%, 52.71%, 51.5%
ALL, 46.69%, 55.11%, 45.49%, 55.31%
ALLE, 52.1%, 53.71%, 46.89%, 51.1%
ALXN, 50.7%, 53.11%, 48.3%, 53.71%
AMAT, 48.3%, 55.91%, 44.69%, 44.69%
AMD, 55.91%, 49.5%, 49.5%, 48.9%
AME, 46.69%, 52.91%, 47.49%, 52.51%
AMG, 50.3%, 46.29%, 48.5%, 49.7%
AMGN, 49.7%, 45.69%, 51.9%, 53.11%
AMP, 48.1%, 54.71%, 49.3%, 49.7%
AMT, 53.71%, 44.69%, 48.3%, 48.5%
AMZN, 52.71%, 59.12%, 56.51%, 43.89%
ANDV, 51.5%, 57.52%, 49.1%, 46.09%
ANSS, 45.69%, 44.49%, 41.88%, 47.49%
ANTM, 49.1%, 57.72%, 49.1%, 52.3%
AON, 55.11%, 46.09%, 57.11%, 44.69%
AOS, 42.48%, 53.91%, 45.09%, 46.09%
APA, 52.1%, 52.3%, 50.1%, 47.29%
APC, 53.71%, 54.31%, 47.49%, 47.49%
APD, 48.5%, 48.5%, 49.3%, 46.69%
APH, 42.89%, 55.11%, 52.91%, 58.32%
APTV, 46.49%, 55.71%, 50.7%, 47.49%
ARE, 45.69%, 54.51%, 46.69%, 47.09%
ARNC, 49.7%, 50.3%, 51.5%, 48.7%
ATVI, 48.3%, 53.71%, 43.89%, 44.69%
AVB, 47.9%, 46.49%, 53.71%, 51.5%
AVGO, 52.51%, 55.11%, 46.29%, 53.11%
AVY, 46.09%, 58.72%, 53.51%, 51.5%
AWK, 52.1%, 54.11%, 43.89%, 53.51%
AXP, 51.3%, 53.91%, 51.5%, 48.5%
AYI, 50.7%, 46.09%, 51.7%, 50.1%
AZO, 50.1%, 52.3%, 51.3%, 50.1%
BA, 53.71%, 43.09%, 53.31%, 44.29%
BAC, 50.5%, 52.1%, 49.3%, 48.5%
BAX, 48.9%, 57.72%, 55.31%, 46.09%
BBT, 49.5%, 53.71%, 49.9%, 46.29%
BBY, 49.3%, 42.28%, 53.31%, 45.29%
BDX, 55.51%, 45.29%, 51.5%, 54.91%
BEN, 48.1%, 49.5%, 49.3%, 48.1%
BHGE, 52.51%, 51.9%, 53.11%, 53.91%
BIIB, 51.5%, 52.51%, 50.5%, 49.1%
BK, 48.9%, 56.51%, 47.09%, 51.9%
BLK, 50.9%, 53.71%, 49.7%, 49.3%
BLL, 49.7%, 47.49%, 45.09%, 48.9%
BMY, 46.69%, 44.29%, 46.69%, 44.09%
