A, 52.30%
A, 52.51%
A, 63.13%
A, 62.73%
AAL, 57.52%
AAL, 49.30%
AAL, 72.55%
AAL, 69.54%
AAP, 53.11%
AAP, 51.30%
AAP, 66.33%
AAP, 69.94%
AAPL, 53.11%
AAPL, 52.10%
AAPL, 58.32%
AAPL, 57.72%
ABBV, 57.92%
ABBV, 55.71%
ABBV, 63.73%
ABBV, 67.74%
ABC, 58.72%
ABC, 53.91%
ABC, 66.13%
ABC, 63.13%
ABT, 56.91%
ABT, 55.51%
ABT, 55.11%
ABT, 63.33%
ACN, 49.10%
ACN, 52.10%
ACN, 59.72%
ACN, 65.73%
ADBE, 47.70%
ADBE, 55.51%
ADBE, 54.51%
ADBE, 52.91%
ADI, 50.50%
ADI, 56.51%
ADI, 57.11%
ADI, 63.13%
ADM, 52.91%
ADM, 57.92%
ADM, 67.94%
ADM, 66.53%
ADP, 54.71%
ADP, 52.51%
ADP, 62.73%
ADP, 64.93%
ADS, 57.72%
ADS, 56.31%
ADS, 69.14%
ADS, 66.73%
ADSK, 53.51%
ADSK, 58.92%
ADSK, 57.72%
ADSK, 57.31%
AEE, 56.11%
AEE, 59.72%
AEE, 66.93%
AEE, 61.72%
AEP, 57.52%
AEP, 52.30%
AEP, 68.54%
AEP, 68.54%
AES, 56.11%
AES, 59.92%
AES, 72.14%
AES, 65.53%
AET, 57.52%
AET, 52.51%
AET, 61.32%
AET, 65.33%
AFL, 53.71%
AFL, 49.50%
AFL, 58.52%
AFL, 61.72%
AGN, 52.51%
AGN, 53.51%
AGN, 62.73%
AGN, 69.14%
AIG, 57.52%
AIG, 54.31%
AIG, 56.51%
AIG, 65.53%
AIV, 53.11%
AIV, 56.31%
AIV, 70.74%
AIV, 75.35%
AIZ, 54.31%
AIZ, 55.11%
AIZ, 68.74%
AIZ, 69.54%
AJG, 54.31%
AJG, 50.30%
AJG, 62.73%
AJG, 59.72%
AKAM, 54.31%
AKAM, 53.11%
AKAM, 67.94%
AKAM, 63.93%
ALB, 52.10%
ALB, 56.91%
ALB, 60.12%
ALB, 65.73%
ALGN, 52.30%
ALGN, 51.90%
ALGN, 59.72%
ALGN, 58.72%
ALK, 48.30%
ALK, 53.31%
ALK, 72.55%
ALK, 63.93%
ALL, 58.32%
ALL, 53.31%
ALL, 64.13%
ALL, 64.13%
ALLE, 49.10%
ALLE, 54.11%
ALLE, 69.14%
ALLE, 68.14%
ALXN, 61.52%
ALXN, 60.92%
ALXN, 71.54%
ALXN, 74.55%
AMAT, 53.91%
AMAT, 53.51%
AMAT, 62.53%
AMAT, 61.32%
AMD, 57.72%
AMD, 54.91%
AMD, 59.92%
AMD, 65.13%
AME, 55.11%
AME, 53.91%
AME, 59.52%
AME, 63.33%
AMG, 56.71%
AMG, 58.12%
AMG, 60.12%
AMG, 67.33%
AMGN, 49.90%
AMGN, 48.50%
AMGN, 71.94%
AMGN, 67.54%
AMP, 48.30%
AMP, 53.51%
AMP, 62.73%
AMP, 59.92%
AMT, 54.71%
AMT, 54.71%
AMT, 68.34%
AMT, 67.94%
AMZN, 54.91%
AMZN, 46.09%
AMZN, 59.92%
AMZN, 60.72%
ANDV, 54.31%
ANDV, 54.91%
ANDV, 62.12%
ANDV, 68.54%
ANSS, 54.51%
ANSS, 55.51%
ANSS, 67.74%
ANSS, 64.93%
ANTM, 57.11%
ANTM, 52.30%
ANTM, 66.73%
ANTM, 65.93%
AON, 53.31%
AON, 55.11%
AON, 63.93%
AON, 60.72%
AOS, 52.71%
AOS, 53.11%
AOS, 56.51%
AOS, 59.32%
APA, 53.71%
APA, 54.51%
APA, 68.74%
APA, 64.13%
APC, 52.91%
APC, 55.91%
APC, 61.32%
APC, 65.13%
APD, 54.11%
APD, 55.31%
APD, 57.31%
APD, 61.52%
APH, 53.31%
APH, 54.11%
APH, 64.73%
APH, 67.13%
APTV, 54.71%
APTV, 54.31%
APTV, 60.52%
APTV, 68.14%
ARE, 56.51%
ARE, 57.92%
ARE, 69.14%
ARE, 63.33%
ARNC, 56.11%
ARNC, 55.11%
ARNC, 67.33%
ARNC, 60.92%
ATVI, 50.90%
ATVI, 55.91%
ATVI, 60.12%
ATVI, 60.72%
AVB, 55.51%
AVB, 50.90%
AVB, 70.94%
AVB, 72.14%
AVGO, 54.91%
AVGO, 55.11%
AVGO, 64.33%
AVGO, 62.12%
AVY, 52.71%
AVY, 53.51%
AVY, 61.72%
AVY, 59.92%
AWK, 52.51%
AWK, 53.91%
AWK, 67.54%
AWK, 66.73%
AXP, 55.11%
AXP, 55.91%
AXP, 62.32%
AXP, 61.52%
AYI, 51.30%
AYI, 54.11%
AYI, 67.13%
AYI, 68.14%
AZO, 54.31%
AZO, 56.91%
AZO, 66.53%
AZO, 69.94%
BA, 52.51%
BA, 51.30%
BA, 62.73%
BA, 61.72%
BAC, 51.90%
BAC, 52.10%
BAC, 60.12%
BAC, 60.32%
BAX, 54.51%
BAX, 54.31%
BAX, 67.54%
BAX, 58.12%
BBT, 58.32%
BBT, 52.71%
